hgnc_symbol	drugbank_id	relation
ADRA2B	DB00668	1
ADRA2C	DB00668	1
ADRB2	DB00668	1
ADRA1A	DB00668	1
NR3C2	DB00700	-1
PTGIR	DB01240	1
PTGER4	DB01240	1
PTGER1	DB01240	1
AGTR1	DB00876	-1
HTR2B	DB00696	1
HTR6	DB00696	1
HTR1E	DB00696	1
HTR2A	DB00696	1
HTR2C	DB00696	1
HTR1F	DB00696	1
ADRA1A	DB00696	1
HTR1D	DB00696	1
EGFR	DB00530	-1
SLCO2B1	DB00530	-1
SLC6A4	DB01175	-1
ADRB1	DB00187	-1
ESR1	DB00783	1
KCNMA1	DB00783	1
GABRA4	DB00402	1
GABRA2	DB00402	1
SLC12A1	DB00903	-1
ESR1	DB00977	1
CHRM1	DB00392	-1
CACNA1G	DB00593	-1
CA5A	DB00311	-1
CA2	DB00311	-1
CA14	DB00311	-1
CA7	DB00311	-1
CA12	DB00311	-1
CA9	DB00311	-1
CA4	DB00311	-1
CA1	DB00311	-1
CA5B	DB00311	-1
CA3	DB00311	-1
CA13	DB00311	-1
CA6	DB00311	-1
AR	DB01493	1
PTGS2	DB00749	-1
PGR	DB00294	1
TOP2A	DB00773	-1
PTGS2	DB01628	-1
RXRG	DB00926	1
RARA	DB00926	1
FKBP1A	DB01590	-1
MTOR	DB01590	-1
CYP19A1	DB00990	-1
NPC1L1	DB00973	-1
HRH2	DB00927	-1
XDH	DB04854	-1
GRIN2B	DB00949	-1
GRIN2A	DB00949	-1
CACNA1D	DB01023	-1
CACNA1C	DB01023	-1
CFTR	DB01023	1
PPARA	DB01039	1
DRD4	DB00800	1
DRD1	DB00800	1
PTGS1	DB00573	-1
PTGS2	DB00573	-1
SLC5A8	DB00573	-1
ADRB2	DB01288	1
OPRM1	DB00813	1
HRH1	DB00950	-1
SRD5A2	DB01216	-1
SRD5A1	DB01216	-1
KCNA7	DB01195	-1
KCNA5	DB01195	-1
SCN5A	DB01195	-1
TYMS	DB00322	-1
POLA1	DB01073	-1
RRM2	DB01073	-1
RRM1	DB01073	-1
TAS2R14	DB02266	1
PTGS1	DB02266	-1
PTGS2	DB02266	-1
KCNT2	DB02266	1
GABRA4	DB01205	-1
NR3C1	DB00663	1
NR3C1	DB00180	1
NR3C1	DB00591	1
NR3C1	DB00324	1
HTR2B	DB00472	-1
SLC6A4	DB00472	-1
SLC29A4	DB00472	-1
AR	DB01185	1
DRD3	DB00875	-1
DRD2	DB00875	-1
DRD1	DB00875	-1
DRD5	DB00875	-1
DRD2	DB00623	-1
AR	DB00499	-1
PGR	DB00588	1
NR3C1	DB00588	1
NR3C2	DB00588	1
HMGCR	DB01095	-1
SLC6A4	DB00176	-1
ADRB2	DB00983	1
ACE	DB00492	-1
ESR2	DB00947	-1
ESR1	DB00947	-1
SLC12A1	DB00695	-1
SLC12A2	DB00695	-1
ACHE	DB00674	-1
EGFR	DB00317	-1
RRM2	DB00441	-1
RRM1	DB00441	-1
PPARA	DB01241	1
CYP2C9	DB01016	-1
CFTR	DB01016	-1
HTR3A	DB00889	-1
HTR1D	DB00502	-1
KCNH1	DB00502	-1
DRD3	DB00502	-1
HTR2A	DB00502	-1
DRD2	DB00502	-1
DRD4	DB00502	-1
RYR2	DB01275	-1
SLC12A3	DB00999	-1
OPRK1	DB00956	1
OPRM1	DB00956	1
NR3C1	DB00769	1
NR3C1	DB00741	1
NR3C2	DB00741	1
OPRM1	DB00327	1
TLR7	DB01611	-1
TLR9	DB01611	-1
RRM2	DB01005	-1
RRM1	DB01005	-1
HRH1	DB00557	-1
CHRM3	DB00424	-1
CHRM2	DB00424	-1
CHRM1	DB00424	-1
ASIC1	DB01050	-1
PTGS1	DB01050	-1
PTGS2	DB01050	-1
SLC5A8	DB01050	-1
TOP2A	DB01177	-1
PTGIR	DB01088	1
PTGDR	DB01088	1
PTGER4	DB01088	1
PTGFR	DB01088	1
PTGER2	DB01088	1
TBXA2R	DB01088	1
INSR	DB00619	1
ABL1	DB00619	-1
PDGFRB	DB00619	-1
KIT	DB00619	-1
ACE	DB11783	-1
KCNH1	DB00458	-1
SLC6A2	DB00458	-1
SLC6A4	DB00458	-1
TLR7	DB00724	1
SLC12A3	DB00808	-1
PPARG	DB00328	1
PTGS1	DB00328	-1
PTGS2	DB00328	-1
SLC10A1	DB01029	-1
AGTR1	DB01029	-1
TOP1	DB00762	-1
ADRB3	DB01064	1
ADRB2	DB01064	1
ADRB1	DB01064	1
RARB	DB00982	-1
KCNA10	DB01026	-1
CYP17A1	DB01026	-1
CYP11B1	DB01026	-1
CYP11B2	DB01026	-1
PTGS1	DB01009	-1
PTGS2	DB01009	-1
PTGS1	DB00465	-1
PTGS2	DB00465	-1
HRH1	DB00920	-1
ADRB1	DB00598	-1
ADRB2	DB00598	-1
ADRA1D	DB00598	-1
SCN9A	DB00555	-1
SCN8A	DB00555	-1
SCN3A	DB00555	-1
SCN1A	DB00555	-1
SCN10A	DB00555	-1
SCN5A	DB00555	-1
SCN4A	DB00555	-1
SCN2A	DB00555	-1
EGFR	DB01259	-1
INSR	DB01259	1
ERBB2	DB01259	-1
PTGFR	DB00654	1
DHODH	DB01097	-1
CYP19A1	DB01006	-1
GNRHR	DB00007	1
DRD2	DB01235	1
DRD1	DB01235	1
OPRM1	DB01227	1
PGR	DB00367	1
SCN2A	DB00281	-1
SCN5A	DB00281	-1
SCN10A	DB00281	-1
SCN4A	DB00281	-1
SCN9A	DB00281	-1
SCN3A	DB00281	-1
THRA	DB00279	1
THRB	DB00279	1
ACE	DB00722	-1
HTR2C	DB00589	1
HTR2B	DB00589	-1
HTR1B	DB00589	1
ADRA1A	DB00589	-1
DRD4	DB00589	1
DRD5	DB00589	1
HTR1D	DB00589	1
ADRA2A	DB04948	1
OPRM1	DB00836	1
AGTR1	DB00678	-1
NR3C1	DB00873	1
HMGCR	DB00227	-1
NR1I2	DB00227	1
HTR2C	DB00408	-1
HRH1	DB00408	-1
DRD2	DB00408	-1
DRD4	DB00408	-1
HTR2A	DB00408	-1
DRD3	DB00408	-1
KCNT1	DB00408	1
PTGS2	DB01283	-1
CCR5	DB04835	-1
ALOX5	DB00939	-1
PTGS1	DB00939	-1
PTGS2	DB00939	-1
PGR	DB00603	1
PTGS1	DB00784	-1
PTGS2	DB00784	-1
PGR	DB00351	1
HTR2B	DB01065	-1
MTNR1B	DB01065	1
MTNR1A	DB01065	1
PTGS2	DB00814	-1
GRIN3A	DB01043	-1
GRIN1	DB01043	-1
OPRM1	DB00454	1
SCN9A	DB00961	-1
SCN8A	DB00961	-1
SCN4A	DB00961	-1
SCN3A	DB00961	-1
SCN2A	DB00961	-1
SCN1A	DB00961	-1
SCN5A	DB00961	-1
PPAT	DB01033	-1
ALOX5	DB00244	-1
PTGS2	DB00244	-1
PTGS1	DB00244	-1
PPARG	DB00244	1
HTR2A	DB00933	-1
DRD2	DB00933	-1
HTR1A	DB00933	-1
DRD1	DB00933	-1
ESR1	DB01357	1
ADRB2	DB00816	1
ADRA1A	DB00610	1
CHRM3	DB06709	1
OPRM1	DB00333	1
TAAR1	DB01577	1
SLC6A3	DB01577	-1
SLC6A4	DB01577	-1
SLC6A2	DB01577	-1
HRH1	DB00902	-1
TPO	DB00763	-1
CA1	DB00423	-1
DHFR	DB00563	-1
GLRA1	DB01028	1
ADRA2A	DB00968	1
OPRD1	DB00704	-1
OPRK1	DB00704	-1
OPRM1	DB00704	-1
SLC6A3	DB00422	-1
SLC6A2	DB00422	-1
NR3C1	DB00959	1
HTR1D	DB00247	-1
HTR7	DB00247	-1
HTR1B	DB00247	-1
HTR6	DB00247	-1
HTR1E	DB00247	-1
HTR5A	DB00247	-1
HTR1F	DB00247	-1
HTR1A	DB00247	1
HTR2A	DB00247	1
HTR2B	DB00247	1
HTR2C	DB00247	1
ADRB1	DB01214	-1
ADRB2	DB01214	-1
CHRM1	DB00340	-1
HTR2C	DB00340	-1
HTR4	DB01233	1
HTR3A	DB01233	-1
DRD2	DB01233	-1
SLC12A3	DB00524	-1
ADRB1	DB00264	-1
CYP11B1	DB01011	-1
TH	DB00765	-1
SCN4A	DB00379	-1
SCN10A	DB00379	-1
SCN9A	DB00379	-1
SCN2A	DB00379	-1
SCN5A	DB00379	-1
ADRA1D	DB06148	-1
ADRA1B	DB06148	-1
HTR2C	DB06148	-1
HTR2B	DB06148	-1
HTR2A	DB06148	-1
ADRA1A	DB00211	1
PGR	DB00834	-1
NR3C1	DB00834	-1
NR1I2	DB00834	1
UGCG	DB00419	-1
PDE3A	DB00235	-1
ADRA2B	DB00370	-1
ADRA2C	DB00370	-1
HTR2C	DB00370	-1
HTR2A	DB00370	-1
ADRA2A	DB00370	-1
PTGER3	DB00929	1
PTGER4	DB00929	1
PTGER2	DB00929	1
TOP2A	DB01204	-1
MAOA	DB01171	-1
SLC6A3	DB00745	-1
NR3C1	DB00764	1
TYR	DB00600	-1
CYSLTR1	DB00471	-1
SCN5A	DB00680	-1
OPRM1	DB00295	1
IMPDH2	DB00688	-1
IMPDH1	DB00688	-1
PTGS2	DB00461	-1
ADRB2	DB01203	-1
ADRB1	DB01203	-1
ADRB3	DB01203	-1
OPRD1	DB00844	1
OPRK1	DB00844	1
OPRM1	DB00844	1
OPRD1	DB01183	-1
OPRK1	DB01183	-1
OPRM1	DB01183	-1
AR	DB00984	1
AR	DB00984	1
PTGS2	DB00788	-1
PTGS1	DB00788	-1
HTR1D	DB00952	1
HTR1F	DB00952	1
HTR1E	DB00952	1
HTR1B	DB00952	1
ADRB2	DB04861	-1
ADRB1	DB04861	-1
GPR35	DB00716	1
HTR2A	DB01149	-1
SLC6A2	DB01149	-1
SLC6A4	DB01149	-1
CYP3A4	DB01149	-1
ACHE	DB01400	-1
PTGS1	DB06802	-1
PTGS2	DB06802	-1
TRPA1	DB00184	1
CACNA1D	DB01115	-1
CACNA1F	DB01115	-1
CACNA1C	DB01115	-1
GLRA3	DB01115	-1
GLRB	DB01115	-1
CACNA1S	DB01115	-1
ABL1	DB04868	-1
AR	DB00665	-1
CACNA1D	DB00393	-1
CACNA1C	DB00393	-1
NR3C2	DB00393	-1
CACNA1F	DB00393	-1
CACNA1S	DB00393	-1
CACNA1C	DB00401	-1
CACNA1D	DB00401	-1
HPD	DB00348	-1
CACNA1C	DB01054	-1
KCNN4	DB01054	-1
CACNA1D	DB01054	-1
CACNA1F	DB01054	-1
HRH2	DB00585	-1
SLC6A3	DB04821	-1
SLC6A2	DB04821	-1
ADRA1B	DB00368	1
ADRA2C	DB00368	1
ADRB2	DB00368	1
ADRA1D	DB00368	1
ADRA2A	DB00368	1
ADRA1A	DB00368	1
ADRB1	DB00368	1
PGR	DB00717	1
PGR	DB00957	1
SLC6A2	DB00540	-1
SLC6A4	DB00540	-1
KCNJ10	DB00540	-1
SSTR5	DB00104	1
SSTR3	DB00104	1
SSTR2	DB00104	1
SSTR1	DB00104	1
SSTR4	DB00104	1
DRD4	DB00334	-1
HTR1E	DB00334	1
DRD3	DB00334	-1
HTR2C	DB00334	-1
HTR2A	DB00334	-1
DRD2	DB00334	-1
ALOX5	DB01250	-1
PPARG	DB01250	1
SCN10A	DB01173	-1
SCN9A	DB01173	-1
SCN4A	DB01173	-1
SCN1A	DB01173	-1
HRH1	DB01173	-1
SLC6A2	DB01173	-1
SCN5A	DB01173	-1
AR	DB00621	1
PTGS1	DB00991	-1
PTGS2	DB00991	-1
CHRM2	DB01062	-1
CHRM1	DB01062	-1
CHRM3	DB01062	-1
OPRM1	DB00497	1
ADRA1A	DB00935	1
HTR2C	DB00935	1
ADRA2B	DB00935	1
ADRA1B	DB00935	1
ADRA1D	DB00935	1
ADRA2C	DB00935	1
ADRA2A	DB00935	1
OXTR	DB00107	1
NR1I2	DB01229	1
TUBB	DB01229	-1
HTR3A	DB00377	-1
VDR	DB00910	1
SLC6A4	DB00715	-1
DHFR	DB00642	-1
TYMS	DB00642	-1
GART	DB00642	-1
GABRB3	DB00312	1
DRD1	DB01186	1
DRD4	DB01186	1
DRD5	DB01186	1
DRD3	DB01186	1
DRD2	DB01186	1
ACE	DB00790	-1
DRD2	DB00850	-1
VKORC1	DB00498	-1
SLC6A3	DB00830	-1
SLC6A2	DB00830	-1
VKORC1	DB00946	-1
SLC6A2	DB00191	-1
ADRA1B	DB00692	-1
ADRA2B	DB00692	-1
ADRA2C	DB00692	-1
ADRA1D	DB00692	-1
ADRA2A	DB00692	-1
ADRA1A	DB00692	-1
PTGS1	DB00812	-1
ADRA1B	DB00388	1
ADRA1D	DB00388	1
ADRA1A	DB00388	1
SCN1A	DB00252	-1
SCN3A	DB00252	-1
SCN8A	DB00252	-1
SCN9A	DB00252	-1
SCN2A	DB00252	-1
SCN4A	DB00252	-1
SCN5A	DB00252	-1
ACHE	DB00981	-1
